id,pharm_type,english_name,slovak_name,drug_class,subclass,mechanism_of_action,indications,contraindications,adverse_effects_common,adverse_effects_serious,interactions_key,pregnancy,routes,onset,duration,notes
endo_036,drug,Desmopressin (DDAVP),Dezmopresín (DDAVP),Pituitary & thyroid therapy,ADH analog,V2 receptor agonist → ↑water reabsorption; ↑vWF release.,Central diabetes insipidus; nocturnal enuresis; von Willebrand disease (selected).,Hyponatremia; polydipsia.,Headache; nausea.,Severe hyponatremia/seizures.,SSRIs/TCAs and others ↑ hyponatremia risk; monitor fluids.,use if needed,intranasal; PO; IV; SC,hours,hours,Restrict free water; monitor Na+.
endo_037,drug,Octreotide,Oktreotid,Pituitary & thyroid therapy,somatostatin analog,"Somatostatin receptor agonist → ↓GH, ↓TSH, ↓GI hormone secretion.",Acromegaly; carcinoid symptoms; variceal bleeding (selected).,Hypersensitivity.,Diarrhea; abdominal pain; gallstones.,Severe bradycardia; glucose disturbances.,May alter insulin needs; additive bradycardia with beta blockers.,caution,SC; IV,minutes,hours,Monitor glucose and gallbladder issues.
resp_001,drug_class,Asthma and COPD pharmacotherapy,Farmakoterapia astmy a CHOCHP,Respiratory pharmacology,overview,"Bronchodilation and airway inflammation control via β2-agonists, antimuscarinics, corticosteroids, and targeted biologics.",Asthma; COPD; acute bronchospasm; maintenance therapy.,"Agent-dependent (e.g., LABA monotherapy in asthma contraindicated).",Tremor; palpitations; throat irritation.,Severe bronchospasm; arrhythmias; pneumonia risk (ICS in COPD).,Beta blockers antagonize β2-agonists; CYP3A4 inhibitors ↑ steroid exposure.,agent-dependent,inhalation; PO; IV; SC,minutes to days,hours to weeks,Asthma: anti-inflammatory cornerstone = ICS; COPD: bronchodilation first.
resp_002,drug,Salbutamol,Salbutamol,Respiratory pharmacology,short-acting β2-agonist (SABA),Stimulates β2 receptors → bronchodilation.,Acute asthma attack; exercise-induced bronchospasm; COPD rescue.,Severe tachyarrhythmias; caution in hyperthyroidism.,Tremor; tachycardia; hypokalemia.,Arrhythmias; paradoxical bronchospasm.,Nonselective beta blockers antagonize effect.,generally safe,inhalation; IV,minutes,4–6 h,Rescue inhaler.
resp_003,drug,Formoterol,Formoterol,Respiratory pharmacology,long-acting β2-agonist (LABA),Long-acting β2 receptor stimulation → sustained bronchodilation.,Asthma (only with ICS); COPD maintenance.,LABA monotherapy in asthma.,Tremor; palpitations.,Arrhythmias.,Beta blockers antagonize effect.,generally safe (with ICS),inhalation,minutes,12 h,Fast onset LABA; used in SMART therapy.
resp_004,drug,Ipratropium,Ipratropium,Respiratory pharmacology,short-acting antimuscarinic (SAMA),Blocks M3 receptors → bronchodilation.,COPD; asthma exacerbation (add-on).,Narrow-angle glaucoma (nebulized mist).,Dry mouth; cough.,Paradoxical bronchospasm.,Additive anticholinergic effects.,generally safe,inhalation,minutes,6–8 h,More effective in COPD.
resp_005,drug,Tiotropium,Tiotropium,Respiratory pharmacology,long-acting antimuscarinic (LAMA),Long-acting M3 blockade → sustained bronchodilation.,COPD maintenance; asthma add-on.,Hypersensitivity.,Dry mouth; constipation.,Urinary retention; glaucoma (rare).,Additive anticholinergic drugs.,generally safe,inhalation,minutes,24 h,Once-daily LAMA.
resp_006,drug,Budesonide,Budezonid,Respiratory pharmacology,inhaled corticosteroid (ICS),Local anti-inflammatory effect via glucocorticoid receptor activation.,Asthma maintenance; COPD with frequent exacerbations.,Untreated fungal infection in airway (relative).,Oral candidiasis; dysphonia.,Adrenal suppression (high dose); pneumonia risk in COPD.,Strong CYP3A4 inhibitors ↑ systemic exposure.,generally safe,inhalation,hours to days,days,Rinse mouth after use.
resp_007,drug,Fluticasone,Flutikazón,Respiratory pharmacology,inhaled corticosteroid (ICS),Local anti-inflammatory effect via glucocorticoid receptor activation.,Asthma maintenance; COPD with frequent exacerbations.,Untreated fungal infection in airway (relative).,Oral candidiasis; dysphonia.,Adrenal suppression (high dose); pneumonia risk in COPD.,Strong CYP3A4 inhibitors ↑ systemic exposure.,generally safe,inhalation,hours to days,days,Rinse mouth after use.
resp_008,drug,Montelukast,Montelukast,Respiratory pharmacology,leukotriene receptor antagonist,Blocks CysLT1 receptor → ↓bronchoconstriction and inflammation.,Asthma maintenance; allergic rhinitis; aspirin-exacerbated asthma.,Hypersensitivity.,Headache; GI upset.,Neuropsychiatric effects (rare).,Few major interactions.,generally safe,PO,hours,24 h,Add-on therapy.
resp_009,drug,Prednisone,Prednizón,Respiratory pharmacology,systemic corticosteroid,Systemic anti-inflammatory via glucocorticoid receptor.,Severe asthma/COPD exacerbation.,Systemic infections (relative).,Hyperglycemia; mood changes.,Adrenal suppression; infections.,NSAIDs ↑ GI bleed risk.,use if needed,PO; IV,hours,days,Short courses for exacerbations.
resp_010,drug,Omalizumab,Omalizumab,Respiratory pharmacology,anti-IgE biologic,Monoclonal antibody binds IgE → ↓allergic cascade.,Severe allergic asthma.,Hypersensitivity.,Injection site reactions.,Anaphylaxis (rare).,None major.,avoid unless benefit,SC,weeks,weeks,For selected severe asthma.
resp_011,drug_class,Antitussives and expectorants,Antitusiká a expektoranciá,Cough therapy,overview,Suppress cough reflex or enhance mucus clearance.,Dry or productive cough.,Chronic cough with unclear cause.,Drowsiness; GI upset.,Respiratory depression (opioids).,Additive CNS depression with sedatives.,agent-dependent,PO; inhalation,minutes to hours,hours,Treat cause first; avoid suppressing productive cough unnecessarily.
resp_012,drug,Codeine,Kodeín,Cough therapy,opioid antitussive,Suppresses cough center in medulla.,"Dry, irritating cough.",Respiratory depression; children.,Sedation; constipation.,Respiratory depression; dependence.,Additive CNS depressants.,avoid,PO,30–60 min,4–6 h,Use with caution; abuse potential.
resp_013,drug,Dextromethorphan,Dextrometorfán,Cough therapy,non-opioid antitussive,Acts on cough center (NMDA antagonism).,Dry cough.,MAO inhibitor use.,Dizziness; nausea.,Serotonin syndrome (with SSRIs/MAOIs).,"SSRIs, MAOIs.",generally safe,PO,30 min,3–6 h,Common OTC antitussive.
resp_014,drug,Guaifenesin,Guaifenesin,Cough therapy,expectorant,Increases hydration of respiratory secretions.,Productive cough.,Hypersensitivity.,GI upset.,Rare.,Few significant interactions.,safe,PO,30 min,hours,Encourage fluids.
resp_015,drug,Acetylcysteine,Acetylcysteín,Cough therapy,mucolytic,Breaks disulfide bonds in mucus → ↓viscosity.,Thick mucus; COPD; cystic fibrosis; paracetamol overdose (IV).,Hypersensitivity.,Nausea; bronchospasm (inhaled).,Anaphylactoid reactions (IV).,Activated charcoal may reduce effect (oral).,generally safe,inhalation; PO; IV,minutes to hours,hours,Also antidote for paracetamol.
onco16_001,drug_class,Classic anticancer therapy (cytotoxic chemotherapy),Klasická protinádorová liečba (cytotoxická chemoterapia),Oncology pharmacology,topic overview,"Cytotoxic agents that kill rapidly dividing cells via DNA damage, inhibition of DNA synthesis, or disruption of mitosis.",Solid tumors and hematologic malignancies; adjuvant/neoadjuvant therapy; palliative regimens.,Pregnancy (many agents); severe bone marrow suppression; active severe infection (relative); agent-dependent.,Myelosuppression; nausea/vomiting; alopecia; mucositis.,Febrile neutropenia/sepsis; severe bleeding; organ-specific toxicities (cardio/neuro/pulmonary/renal).,Live vaccines contraindicated during profound immunosuppression; additive myelosuppression; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO; intrathecal (selected),hours to days,days to weeks (cycle-based),"Classic rule: dose-limiting toxicity is often myelosuppression, except where organ-specific toxicity dominates."
onco16_002,drug_class,Alkylating agents,Alkylačné látky,Oncology pharmacology,alkylating agents,Covalently alkylate DNA → crosslinking and strand breaks (cell cycle–nonspecific).,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,Includes cyclophosphamide/ifosfamide; risk hemorrhagic cystitis (acrolein) mitigated with MESNA (esp. ifosfamide).
onco16_003,drug_class,Platinum compounds,Platinové deriváty,Oncology pharmacology,platinum compounds,Form DNA crosslinks similar to alkylators; cell cycle–nonspecific.,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,Cisplatin: nephrotoxicity/ototoxicity; carboplatin: more myelosuppression; oxaliplatin: neuropathy (cold-induced).
onco16_004,drug_class,Antimetabolites,Antimetabolity,Oncology pharmacology,antimetabolites,Inhibit DNA/RNA synthesis by mimicking folate/purines/pyrimidines (S-phase).,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,"High-yield: methotrexate (rescue with leucovorin), 5-FU/capecitabine, cytarabine, gemcitabine."
onco16_005,drug_class,Antitumor antibiotics (anthracyclines/others),Protinádorové antibiotiká (antracyklíny/iné),Oncology pharmacology,antitumor antibiotics,Intercalate DNA and/or generate free radicals; inhibit topoisomerase II (anthracyclines).,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,Doxorubicin: cardiomyopathy (dexrazoxane protective); bleomycin: pulmonary fibrosis; dactinomycin: severe mucositis.
onco16_006,drug_class,Topoisomerase inhibitors,Inhibítory topoizomeráz,Oncology pharmacology,topoisomerase inhibitors,Inhibit topoisomerase I or II → DNA breaks during replication/repair.,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,Etoposide (Topo II): secondary leukemia risk; irinotecan/topotecan (Topo I): diarrhea/myelosuppression.
onco16_007,drug_class,Microtubule inhibitors (mitotic inhibitors),Inhibítory mikrotubulov (mitotické inhibítory),Oncology pharmacology,microtubule inhibitors,Disrupt microtubule dynamics → mitotic arrest (M-phase).,Various cancers depending on agent and regimen.,Pregnancy; severe marrow suppression (relative); agent-specific.,Nausea/vomiting; fatigue; myelosuppression.,Febrile neutropenia; secondary malignancy (some); organ toxicities (agent-specific).,Additive myelosuppression with other cytotoxics; CYP interactions agent-dependent.,avoid/contraindicated,IV; PO (agent-dependent),days,cycle-based,"Vinca alkaloids: neuropathy/ileus; taxanes: neuropathy, myelosuppression, hypersensitivity."
onco16_008,drug,Cyclophosphamide,Cyklofosfamid,Oncology pharmacology,alkylating agent,Prodrug; alkylates DNA after hepatic activation → crosslinks.,"Lymphomas, leukemias, breast cancer, sarcomas; conditioning regimens; autoimmune (selected).",Severe marrow suppression; active severe infection (relative); pregnancy.,Nausea; alopecia; myelosuppression.,Hemorrhagic cystitis; SIADH; secondary malignancy; cardiotoxicity (high-dose).,Additive myelosuppression; CYP inducers/inhibitors affect activation; avoid live vaccines.,contraindicated,IV; PO,days,cycle-based,Hydration; consider MESNA in high-dose settings.
onco16_009,drug,Ifosfamide,Ifosfamid,Oncology pharmacology,alkylating agent,Alkylates DNA (prodrug) → crosslinks; produces acrolein and chloroacetaldehyde.,Sarcomas; testicular cancer; lymphomas (selected).,Severe marrow suppression; renal impairment (caution); pregnancy.,Nausea; myelosuppression.,Hemorrhagic cystitis (MESNA required); neurotoxicity/encephalopathy; nephrotoxicity.,Additive CNS depressants (encephalopathy risk); avoid live vaccines; CYP interactions.,contraindicated,IV,days,cycle-based,MESNA + aggressive hydration are standard.
onco16_010,drug,Busulfan,Busulfán,Oncology pharmacology,alkylating agent,Alkylates DNA; strong myeloablative effect.,Hematopoietic stem cell transplant conditioning.,Pregnancy; severe marrow suppression (expected).,Myelosuppression; mucositis.,Pulmonary fibrosis; seizures (high-dose).,Phenytoin/other anticonvulsants interactions; additive myelosuppression.,contraindicated,IV; PO,days,cycle-based,Seizure prophylaxis often used in conditioning protocols.
onco16_011,drug,Cisplatin,Cisplatina,Oncology pharmacology,platinum compound,Forms DNA crosslinks → apoptosis.,"Testicular, ovarian, bladder, lung cancers; many solid tumors.",Severe renal impairment; pregnancy.,Nausea/vomiting; myelosuppression (less than carboplatin).,Nephrotoxicity; ototoxicity; peripheral neuropathy; severe electrolyte wasting (Mg/K).,Additive nephrotoxicity with aminoglycosides/NSAIDs; avoid other ototoxins.,contraindicated,IV,hours to days,cycle-based,Hydration + antiemetics; monitor Mg/K.
onco16_012,drug,Carboplatin,Karboplatina,Oncology pharmacology,platinum compound,DNA crosslinks; less nephro/oto than cisplatin.,Ovarian and lung cancers; many solid tumors.,Severe marrow suppression; pregnancy.,Myelosuppression; nausea.,Severe thrombocytopenia/neutropenia; hypersensitivity (with repeated exposure).,Additive myelosuppression; dose by renal function (Calvert formula).,contraindicated,IV,hours to days,cycle-based,Dose-limiting: myelosuppression (platelets).
onco16_013,drug,Oxaliplatin,Oxaliplatina,Oncology pharmacology,platinum compound,DNA crosslinks; distinct neurotoxicity profile.,Colorectal cancer (FOLFOX).,Pregnancy; severe hypersensitivity (rare).,Nausea; myelosuppression.,"Peripheral neuropathy (cold-triggered acute, cumulative chronic).",Additive neurotoxicity with other neurotoxic agents.,contraindicated,IV,days,cycle-based,Avoid cold exposure around infusion to reduce acute neuropathy.
onco16_014,drug,Methotrexate,Metotrexát,Oncology pharmacology,antimetabolite,Folate analog inhibits dihydrofolate reductase → ↓THF → ↓DNA synthesis (S-phase).,Pregnancy; severe liver disease; significant renal impairment; chronic alcohol abuse; severe blood dyscrasias.,Pregnancy; severe liver disease; significant renal impairment; active infection Dolphin?,Mucositis; nausea; myelosuppression.,Hepatotoxicity; pneumonitis; severe myelosuppression.,"NSAIDs, TMP-SMX, penicillins can ↑ toxicity; leucovorin rescue for high-dose.",contraindicated,PO; IV; IM; intrathecal (selected),days,cycle-based,Leucovorin (folinic acid) rescues normal cells; monitor LFTs and blood counts.
onco16_015,drug,5-Fluorouracil (5-FU),5-fluóruracil (5-FU),Oncology pharmacology,antimetabolite,Pyrimidine analog; inhibits thymidylate synthase and incorporates into RNA/DNA.,"Colorectal, pancreatic, gastric, breast cancers; topical for actinic keratoses (derm).",Severe marrow suppression; pregnancy.,Diarrhea; mucositis; myelosuppression.,Hand-foot syndrome; cardiotoxicity (rare); severe diarrhea.,Additive myelosuppression; warfarin effect may increase; DPD deficiency → severe toxicity.,contraindicated,IV; topical,days,cycle-based,DPD deficiency screening considered in some settings; capecitabine is oral prodrug (not listed here to keep 'classic' block manageable).
onco16_016,drug,Cytarabine,Cytarabín,Oncology pharmacology,antimetabolite,Pyrimidine analog inhibits DNA polymerase (S-phase).,Acute myeloid leukemia and other leukemias.,Severe marrow suppression; pregnancy.,Myelosuppression; fever; nausea.,Cerebellar toxicity; conjunctivitis; severe infections.,Additive myelosuppression; monitor neurologic status (high-dose).,contraindicated,IV; SC; intrathecal,days,cycle-based,High-dose requires eye prophylaxis (steroid drops).
onco16_017,drug,Gemcitabine,Gemcitabín,Oncology pharmacology,antimetabolite,Nucleoside analog inhibits DNA synthesis (S-phase).,"Pancreatic, lung, bladder, breast cancers.",Severe marrow suppression; pregnancy.,Myelosuppression; flu-like symptoms.,Severe infections; pulmonary toxicity (rare).,Additive myelosuppression.,contraindicated,IV,days,cycle-based,Often combined with platinum agents.
onco16_018,drug,Doxorubicin,Doxorubicín,Oncology pharmacology,antitumor antibiotic,"Anthracycline: intercalates DNA, generates free radicals, inhibits topoisomerase II.",Breast cancer; lymphomas; sarcomas; many solid tumors.,Severe cardiomyopathy; pregnancy.,Myelosuppression; alopecia; mucositis; red urine.,Cardiomyopathy/heart failure; severe tissue necrosis with extravasation.,"Additive cardiotoxicity with trastuzumab (targeted, but interaction exists); avoid other cardiotoxins; dexrazoxane protective.",contraindicated,IV,days,cycle-based,Dose-limiting: cardiotoxicity (cumulative).
onco16_019,drug,Bleomycin,Bleomycín,Oncology pharmacology,antitumor antibiotic,Generates free radicals causing DNA strand breaks (G2-phase specific).,Hodgkin lymphoma (ABVD); testicular cancer.,Pulmonary fibrosis/compromise; pregnancy.,Fever; chills; skin changes.,Pulmonary toxicity/fibrosis.,High inspired oxygen increases pulmonary toxicity risk; avoid in patients needing high O2 when possible.,contraindicated,IV; IM; SC,days,cycle-based,Unique: minimal myelosuppression; dose-limiting pulmonary toxicity.
onco16_020,drug,Dactinomycin (Actinomycin D),Daktinomycín (aktinomycín D),Oncology pharmacology,antitumor antibiotic,Intercalates DNA → blocks RNA synthesis.,Wilms tumor; rhabdomyosarcoma; gestational trophoblastic disease (selected).,Severe marrow suppression; pregnancy.,Myelosuppression; mucositis; nausea.,Severe tissue necrosis with extravasation; veno-occlusive disease (rare).,Additive myelosuppression.,contraindicated,IV,days,cycle-based,Vesicant: careful IV administration.
onco16_021,drug,Etoposide,Etopozid,Oncology pharmacology,topoisomerase inhibitor,Inhibits topoisomerase II → DNA breaks (S/G2).,Testicular cancer; small cell lung cancer; lymphomas.,Severe marrow suppression; pregnancy.,Myelosuppression; alopecia; nausea.,Secondary leukemia (rare); severe hypotension (rapid infusion).,Additive myelosuppression; CYP3A4 interactions.,contraindicated,IV; PO,days,cycle-based,Infuse slowly to reduce hypotension.
onco16_022,drug,Irinotecan,Irinotekán,Oncology pharmacology,topoisomerase inhibitor,Inhibits topoisomerase I → DNA breaks (S-phase).,Colorectal cancer (FOLFIRI).,Severe neutropenia; pregnancy.,Diarrhea; nausea; myelosuppression.,"Severe diarrhea (early cholinergic, late secretory); neutropenic sepsis.",CYP3A4 inhibitors/inducers affect levels; atropine treats early diarrhea; loperamide for late.,contraindicated,IV,days,cycle-based,Early diarrhea treated with atropine; late diarrhea treated aggressively with loperamide.
onco16_023,drug,Topotecan,Topotekán,Oncology pharmacology,topoisomerase inhibitor,Inhibits topoisomerase I.,Ovarian cancer; small cell lung cancer (selected).,Severe marrow suppression; pregnancy.,Myelosuppression; nausea.,Severe neutropenia; infections.,Additive myelosuppression.,contraindicated,IV; PO,days,cycle-based,Dose-limiting: myelosuppression.
onco16_024,drug,Vincristine,Vinkristín,Oncology pharmacology,microtubule inhibitor,Vinca alkaloid: inhibits microtubule polymerization → M-phase arrest.,Leukemias; lymphomas; pediatric tumors.,Intrathecal administration (fatal); severe neuropathy.,Constipation; neuropathy.,Ileus; severe peripheral neuropathy; SIADH.,CYP3A4 inhibitors increase toxicity; additive neurotoxicity.,contraindicated,IV,days,cycle-based,Key: neurotoxicity more than myelosuppression; NEVER intrathecal.
onco16_025,drug,Paclitaxel,Paklitaxel,Oncology pharmacology,microtubule inhibitor,Taxane: stabilizes microtubules preventing depolymerization → M-phase arrest.,"Breast, ovarian, lung cancers.",Severe marrow suppression; pregnancy.,Myelosuppression; alopecia; neuropathy.,Hypersensitivity reactions; severe neuropathy.,CYP interactions; premedication reduces hypersensitivity; additive neurotoxicity.,contraindicated,IV,days,cycle-based,Premedication (steroid + antihistamines) often used.
onco16_026,drug,Docetaxel,Docetaxel,Oncology pharmacology,microtubule inhibitor,Taxane: stabilizes microtubules → mitotic arrest.,"Breast, prostate, lung cancers.",Severe neutropenia; pregnancy.,Myelosuppression; edema; neuropathy.,Severe neutropenia; hypersensitivity.,CYP3A4 interactions; premedication often used.,contraindicated,IV,days,cycle-based,Fluid retention can occur; steroid premedication helps.
onco17_001,drug_class,Targeted anticancer therapy,Cielená protinádorová liečba,Oncology pharmacology,topic overview,Drugs targeting specific molecular pathways or receptors driving tumor growth and survival.,"Solid tumors and hematologic malignancies with defined molecular targets (HER2, EGFR, BCR-ABL, VEGF, etc.).",Pregnancy; severe uncontrolled infection; agent-specific cardiac/hepatic contraindications.,Diarrhea; rash; fatigue; hypertension (VEGF inhibitors).,Cardiotoxicity; severe bleeding/thrombosis; interstitial lung disease; QT prolongation.,CYP3A4 interactions common (TKIs); additive cardiotoxicity with anthracyclines.,contraindicated/avoid,PO; IV; SC,days to weeks,weeks to months,Requires molecular testing; generally less myelosuppression than classic chemotherapy.
onco17_002,drug_class,Tyrosine kinase inhibitors (TKIs),Inhibítory tyrozínkináz,Oncology pharmacology,tyrosine kinase inhibitors,Inhibit intracellular tyrosine kinase signaling pathways essential for tumor proliferation.,Cancers expressing the relevant molecular target.,Pregnancy; agent-specific.,Diarrhea; rash; fatigue.,Target-specific severe toxicities.,CYP interactions agent-dependent.,contraindicated/avoid,PO; IV,days,long-term,Oral small molecules; frequent CYP3A4 interactions.
onco17_003,drug_class,Monoclonal antibodies (oncology),Monoklonálne protilátky (onkologické),Oncology pharmacology,monoclonal antibodies,Bind extracellular receptors or ligands → block signaling or induce immune-mediated cytotoxicity.,Cancers expressing the relevant molecular target.,Pregnancy; agent-specific.,Diarrhea; rash; fatigue.,Target-specific severe toxicities.,CYP interactions agent-dependent.,contraindicated/avoid,PO; IV,days,long-term,IV biologics; infusion reactions common.
onco17_004,drug_class,mTOR inhibitors,Inhibítory mTOR,Oncology pharmacology,mTOR inhibitors,Inhibit mTOR pathway → ↓cell growth and angiogenesis.,Cancers expressing the relevant molecular target.,Pregnancy; agent-specific.,Diarrhea; rash; fatigue.,Target-specific severe toxicities.,CYP interactions agent-dependent.,contraindicated/avoid,PO; IV,days,long-term,"Metabolic effects (hyperglycemia, hyperlipidemia) are characteristic."
onco17_005,drug_class,Proteasome inhibitors,Inhibítory proteazómu,Oncology pharmacology,proteasome inhibitors,Inhibit proteasome → accumulation of misfolded proteins → apoptosis.,Cancers expressing the relevant molecular target.,Pregnancy; agent-specific.,Diarrhea; rash; fatigue.,Target-specific severe toxicities.,CYP interactions agent-dependent.,contraindicated/avoid,PO; IV,days,long-term,Key in multiple myeloma; neuropathy risk.
onco17_006,drug_class,PARP inhibitors,Inhibítory PARP,Oncology pharmacology,PARP inhibitors,Inhibit DNA repair via PARP → synthetic lethality in BRCA-mutated tumors.,Cancers expressing the relevant molecular target.,Pregnancy; agent-specific.,Diarrhea; rash; fatigue.,Target-specific severe toxicities.,CYP interactions agent-dependent.,contraindicated/avoid,PO; IV,days,long-term,High-yield in ovarian/breast cancers with BRCA mutations.
onco17_007,drug,Imatinib,Imatinib,Oncology pharmacology,tyrosine kinase inhibitor,Inhibits BCR-ABL tyrosine kinase; also c-KIT and PDGFR.,Chronic myeloid leukemia; GIST.,Pregnancy; severe hepatic impairment.,Edema; nausea; diarrhea; fatigue.,Cardiotoxicity (rare); severe hepatotoxicity.,CYP3A4 inhibitors/inducers alter levels.,avoid,PO,weeks,long-term,Prototype targeted therapy; dramatic efficacy in CML.
onco17_008,drug,Erlotinib,Erlotinib,Oncology pharmacology,tyrosine kinase inhibitor,EGFR tyrosine kinase inhibitor.,EGFR-mutant non-small cell lung cancer.,Pregnancy; severe hepatic impairment.,Acneiform rash; diarrhea.,Interstitial lung disease; hepatotoxicity.,CYP3A4 interactions; PPIs reduce absorption.,contraindicated,PO,weeks,long-term,Rash correlates with response.
onco17_009,drug,Sunitinib,Sunitinib,Oncology pharmacology,tyrosine kinase inhibitor,"Multi-target TKI (VEGFR, PDGFR).",Renal cell carcinoma; GIST.,Pregnancy; uncontrolled hypertension.,Fatigue; diarrhea; hand-foot syndrome.,Cardiotoxicity; severe hypertension; bleeding.,CYP3A4 interactions.,contraindicated,PO,weeks,long-term,Monitor BP and cardiac function.
onco17_010,drug,Trastuzumab,Trastuzumab,Oncology pharmacology,monoclonal antibody,Monoclonal antibody against HER2 receptor.,HER2-positive breast and gastric cancer.,Pregnancy; pre-existing cardiomyopathy.,Infusion reactions; diarrhea.,Cardiomyopathy; heart failure.,Additive cardiotoxicity with anthracyclines.,contraindicated,IV,weeks,long-term,Baseline and periodic LVEF monitoring required.
onco17_011,drug,Bevacizumab,Bevacizumab,Oncology pharmacology,monoclonal antibody,Monoclonal antibody against VEGF → anti-angiogenesis.,"Colorectal, lung, renal cancers (selected).",Recent surgery; uncontrolled bleeding.,Hypertension; proteinuria.,GI perforation; severe bleeding; thrombosis.,Additive bleeding risk with anticoagulants.,contraindicated,IV,weeks,long-term,Impaired wound healing; stop before surgery.
onco17_012,drug,Rituximab,Rituximab,Oncology pharmacology,monoclonal antibody,Monoclonal antibody against CD20 on B cells.,B-cell lymphomas; CLL; autoimmune diseases (selected).,Active severe infection.,Infusion reactions.,Severe infections; HBV reactivation.,Immunosuppressants increase infection risk.,avoid,IV,weeks,months,Screen for hepatitis B prior to therapy.
onco17_013,drug,Everolimus,Everolimus,Oncology pharmacology,mTOR inhibitor,Inhibits mTOR kinase → ↓cell growth and angiogenesis.,Renal cell carcinoma; breast cancer; neuroendocrine tumors.,Pregnancy; severe hepatic impairment.,Stomatitis; rash; fatigue.,Severe infections; pneumonitis.,CYP3A4 inhibitors/inducers.,contraindicated,PO,weeks,long-term,Monitor lipids and glucose.
onco17_014,drug,Bortezomib,Bortezomib,Oncology pharmacology,proteasome inhibitor,Inhibits 26S proteasome → apoptosis of malignant plasma cells.,Multiple myeloma; mantle cell lymphoma.,Pregnancy.,Peripheral neuropathy; GI upset.,Severe neuropathy; hypotension.,Additive neurotoxicity.,contraindicated,IV; SC,days,cycle-based,Subcutaneous route reduces neuropathy.
onco17_015,drug,Olaparib,Olaparib,Oncology pharmacology,PARP inhibitor,Inhibits PARP-mediated DNA repair → synthetic lethality.,BRCA-mutated ovarian and breast cancer.,Pregnancy; severe marrow suppression.,Fatigue; nausea; anemia.,Myelodysplastic syndrome (rare).,CYP3A4 inhibitors/inducers.,contraindicated,PO,weeks,long-term,Requires BRCA mutation testing.
immuno18_001,drug_class,Immunopharmacology,Imunofarmakológia,Immunopharmacology,topic overview,"Modulation of immune response via suppression, stimulation, or targeted immune pathway regulation.",Autoimmune diseases; transplantation; oncology adjuncts; immunodeficiency; inflammatory disorders.,Active severe infection (many agents); pregnancy (agent-dependent).,Infection risk; GI upset; fatigue.,Opportunistic infections; malignancy; cytokine release syndrome (some biologics).,Live vaccines contraindicated with immunosuppression; additive infection risk with combinations.,agent-dependent,PO; IV; SC; IM,days to weeks,weeks to months,Always balance infection risk vs therapeutic benefit.
immuno18_002,drug_class,Calcineurin inhibitors,Inhibítory kalcineurínu,Immunopharmacology,calcineurin inhibitors,Inhibit calcineurin → ↓IL-2 transcription → ↓T-cell activation.,Organ transplantation; autoimmune diseases (selected).,Uncontrolled infection; malignancy (relative).,Hypertension; tremor; nephrotoxicity.,Severe nephrotoxicity; neurotoxicity.,CYP3A4 inhibitors/inducers; additive nephrotoxicity.,avoid,PO; IV,days,long-term,Narrow therapeutic index; monitor drug levels.
immuno18_003,drug,Cyclosporine,Cyklosporín,Immunopharmacology,calcineurin inhibitor,Binds intracellular protein → inhibits calcineurin → ↓IL-2 and T-cell activation.,Organ transplantation; autoimmune diseases (selected).,Uncontrolled infection; malignancy (relative).,Hypertension; tremor; nephrotoxicity.,Severe nephrotoxicity; neurotoxicity.,"CYP3A4 inhibitors (macrolides, azoles) ↑ levels; grapefruit juice.",avoid,PO; IV,days,long-term,Classic transplant drug; gingival hyperplasia and hirsutism.
